time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-03-30T11:22:50.797Z,61.7518,-150.0675,19.5,1.9,ml,,,,0.57,ak,ak0244511trr,2024-03-30T11:25:16.193Z,"1 km WNW of Willow, Alaska",earthquake,,0.7,,,automatic,ak,ak
2024-03-30T11:06:43.380Z,38.8175011,-122.8181686,2.3,1.49,md,26,48,0.008638,0.03,nc,nc74026336,2024-03-30T11:08:19.558Z,"7 km NW of The Geysers, CA",earthquake,0.2,0.35,0.1,28,automatic,nc,nc
2024-03-30T11:03:42.760Z,18.845,-67.4555,10.17,3.23,md,7,332,0.4976,0.19,pr,pr71444283,2024-03-30T13:27:09.440Z,"54 km NW of San Antonio, Puerto Rico",earthquake,2.27,3.66,0.026143321,3,reviewed,pr,pr
2024-03-30T10:59:05.326Z,64.7799,-149.1584,4,1.6,ml,,,,0.28,ak,ak024450o85g,2024-03-30T11:00:49.885Z,"19 km N of Four Mile Road, Alaska",earthquake,,0.4,,,automatic,ak,ak
2024-03-30T10:56:30.698Z,39.2866,-119.6507,4.9,0.5,ml,9,142.98,0.11,0.1886,nn,nn00875569,2024-03-30T14:30:30.054Z,"2 km S of Virginia City, Nevada",earthquake,,3.6,0.22,4,reviewed,nn,nn
2024-03-30T10:49:44.497Z,65.9143,-146.6022,15.2,2.7,ml,,,,1,ak,ak024450m60h,2024-03-30T11:55:39.040Z,"52 km SW of Birch Creek, Alaska",earthquake,,0.4,,,automatic,ak,ak
2024-03-30T10:49:01.190Z,33.99,-116.4193333,8.52,1.34,ml,53,52,0.04997,0.13,ci,ci40702360,2024-03-30T10:59:22.060Z,"8 km ENE of Desert Hot Springs, CA",earthquake,0.14,0.31,0.148,27,automatic,ci,ci
2024-03-30T10:45:16.800Z,38.7978325,-122.796669,19.31,0.94,md,8,85,0.008268,0.02,nc,nc74026326,2024-03-30T10:46:54.182Z,"4 km WNW of The Geysers, CA",earthquake,2.52,3.57,0.09,10,automatic,nc,nc
2024-03-30T10:44:44.620Z,38.8048325,-122.8058319,3.64,0.29,md,8,75,0.008802,0.01,nc,nc74026321,2024-03-30T10:46:19.163Z,"5 km NW of The Geysers, CA",earthquake,0.6,2.05,0.04,8,automatic,nc,nc
2024-03-30T10:42:22.613Z,59.9774,-152.4006,95.3,1.4,ml,,,,0.38,ak,ak024450kmb9,2024-03-30T10:44:09.189Z,"37 km W of Happy Valley, Alaska",earthquake,,0.9,,,automatic,ak,ak
2024-03-30T10:36:37.028Z,63.6567,-145.6749,16.8,1.1,ml,,,,0.35,ak,ak024450jd4o,2024-03-30T10:40:26.413Z,"32 km S of Fort Greely, Alaska",earthquake,,0.3,,,automatic,ak,ak
2024-03-30T10:30:10.320Z,33.5836667,-116.8058333,8.51,0.47,ml,25,74,0.03624,0.1,ci,ci40702352,2024-03-30T10:35:59.066Z,"13 km WNW of Anza, CA",earthquake,0.17,0.35,0.086,9,automatic,ci,ci
2024-03-30T10:25:25.143Z,-14.8178,-109.3076,10,4.7,mb,27,214,38.313,0.73,us,us7000m8x0,2024-03-30T10:55:45.040Z,central East Pacific Rise,earthquake,18.46,1.992,0.066,69,reviewed,us,us
2024-03-30T10:11:18.900Z,33.8781667,-117.7903333,10.53,0.9,ml,21,149,0.04969,0.24,ci,ci40702344,2024-03-30T10:17:54.495Z,"2 km ESE of Yorba Linda, CA",earthquake,0.68,0.58,0.108,13,automatic,ci,ci
2024-03-30T10:09:13.600Z,35.637,-117.4538333,7.47,1.05,ml,28,68,0.03726,0.11,ci,ci40702336,2024-03-30T10:15:03.937Z,"15 km SSW of Searles Valley, CA",earthquake,0.19,0.32,0.103,10,automatic,ci,ci
2024-03-30T09:54:38.596Z,62.1449,-153.103,11.8,1.6,ml,,,,0.58,ak,ak0244501sj7,2024-03-30T09:57:05.296Z,"90 km W of Skwentna, Alaska",earthquake,,0.5,,,automatic,ak,ak
2024-03-30T09:48:17.183Z,-4.02,-103.9065,10,5.1,mww,40,149,22.083,0.95,us,us7000m8ww,2024-03-30T10:19:45.040Z,central East Pacific Rise,earthquake,14.35,1.92,0.066,22,reviewed,us,us
2024-03-30T09:23:08.440Z,17.9375,-66.26933333,14.58,2.31,md,4,228,0.09675,0.08,pr,pr71444278,2024-03-30T09:33:40.430Z,"5 km WSW of Central Aguirre, Puerto Rico",earthquake,0.75,1,0.271340452,2,reviewed,pr,pr
2024-03-30T09:22:55.430Z,38.7866669,-122.7721634,1.45,1.28,md,20,92,0.01392,0.04,nc,nc74026306,2024-03-30T09:24:29.316Z,"2 km NW of The Geysers, CA",earthquake,0.24,0.39,0.19,22,automatic,nc,nc
2024-03-30T09:18:52.650Z,38.7965012,-122.8066635,10.74,0.73,md,7,146,0.008633,0.02,nc,nc74026301,2024-03-30T09:20:29.246Z,"5 km WNW of The Geysers, CA",earthquake,2.16,5.03,0.19,7,automatic,nc,nc
2024-03-30T09:15:34.950Z,38.7989998,-122.80233,3.54,0.68,md,9,97,0.0105,0.03,nc,nc74026291,2024-03-30T09:17:09.131Z,"5 km WNW of The Geysers, CA",earthquake,0.84,1.94,0.37,10,automatic,nc,nc
2024-03-30T09:15:01.020Z,38.8006668,-122.8073349,2.2,2.56,md,47,60,0.0119,0.05,nc,nc74026286,2024-03-30T17:29:07.511Z,"5 km WNW of The Geysers, CA",earthquake,0.15,0.24,0.18,51,automatic,nc,nc
2024-03-30T09:14:12.790Z,19.40416718,-155.4838409,7.079999924,2.0999999,md,35,37,0.04063,0.140000001,hv,hv74154737,2024-03-30T09:16:09.910Z,"22 km N of Pāhala, Hawaii",earthquake,0.31,0.610000014,0.449999988,9,automatic,hv,hv
2024-03-30T09:04:19.335Z,39.2872,-119.6588,5.4,0.7,ml,8,140.57,0.104,0.1138,nn,nn00875567,2024-03-30T14:24:14.687Z,"2 km SSW of Virginia City, Nevada",earthquake,,3.3,1.01,6,reviewed,nn,nn
